"Komisi","SKPD","Kegiatan","Perubahan.Baru","PembahasanDPRD.Tambah.P","PembahasanDPRD.Kurang.P","PembahasanDPRD.Baru.P"
"C","BADAN PENGELOLA KEUANGAN DAERAH","Pemeliharaan/Rehab Gedung A UPT Perparkiran Dishub Provinsi DKI Jakarta","200000000","200000000","NA","200000000"
"C","BADAN PENGELOLA KEUANGAN DAERAH","Pendampingan dan Penyelesaian Masalah Pengadaan Barang/Jasa","600000000","600000000","NA","600000000"
"C","BADAN PENGELOLA KEUANGAN DAERAH","Pengadaan Kendaraan Dinas Pimpinan","1500000000","1500000000","NA","1500000000"
"C","BADAN PENGELOLA KEUANGAN DAERAH","Pengadaan Perlengkapan ULP (meja, kursi, komputer, sistem, dll)","2000000000","2000000000","NA","2000000000"
"C","BADAN PENGELOLA KEUANGAN DAERAH","Pengecoran dan Pengaspalan Jalan Masuk Kompleks Gudang Induk Pulomas","500000000","500000000","NA","500000000"
"C","BADAN PENGELOLA KEUANGAN DAERAH","Penyampaian Informasi Pelayanan Pengadaan Barang dan Jasa","400000000","400000000","NA","400000000"
"C","BADAN PENGELOLA KEUANGAN DAERAH","Penyempurnaan Revisi Perda No.3 Tahun 2012","300000000","300000000","NA","300000000"
"C","BADAN PENGELOLA KEUANGAN DAERAH","Perbaikan/Penggantian Komponen AC Gedung Prasada Sasana Karya","200000000","200000000","NA","200000000"
"C","BADAN PENGELOLA KEUANGAN DAERAH","Perbaikan/Penggantian Komponen AC Gedung UPT Parkir dan Gedung Eks. BP3W","200000000","200000000","NA","200000000"
"C","BADAN PENGELOLA KEUANGAN DAERAH","Sosialisasi Pengelolaan Inventasi Daerah","75000000","75000000","NA","75000000"
"C","BADAN PENGELOLA KEUANGAN DAERAH","Sosialisasi Peraturan Terkait Pengadaan Barang dan Jasa","500000000","500000000","NA","500000000"
"C","BADAN PENGELOLA KEUANGAN DAERAH","Survey Pengadaan Barang/Jasa","550000000","550000000","NA","550000000"
"C","DINAS PELAYANAN PAJAK","Biaya Pemungutan PBB","NA","0","26911300000","-26911300000"
"C","DINAS PELAYANAN PAJAK","Biaya Pemungutan Pajak Daerah","NA","0","60000000000","-60000000000"
"C","DINAS PELAYANAN PAJAK","Pembayaran Utang Pada Pihak Ketiga Untuk Kegiatan Pembangunan Gedung UPPD","796554000","796554000","NA","796554000"
"C","DINAS PELAYANAN PAJAK","Pembayaran Utang Pada Pihak Ketiga Untuk Kekurangan Biaya Pemungutan Pajak Bulan November s.d Desember 2009","106068186","106068186","NA","106068186"
"C","DINAS PELAYANAN PAJAK","Penambahan TALI UPPD Kecamatan Pancoran","100000000","100000000","NA","100000000"
"C","DINAS PELAYANAN PAJAK","Penataan Ruangan Kantor UPPD Pesanggrahan di Kecamatan Pesanggarahan","100000000","100000000","NA","100000000"
"C","DINAS PELAYANAN PAJAK","Pendataan Terintegrasi di Kelurahan Uji Coba","250000000","250000000","NA","250000000"
"C","DINAS PELAYANAN PAJAK","Perancangan Brand Image dan Model UPPD","200000000","200000000","NA","200000000"
"D","DINAS KEBERSIHAN","Analisa harga satuan penanganan sampah di provinsi DKI Jakarta","50000000","NA","NA","50000000"
"D","DINAS KEBERSIHAN","Evaluasi Pelelangan ITF Sunter","NA","200000000","NA","200000000"
"D","DINAS KEBERSIHAN","Fasilitasi dan Koordinasi Tim Teknis ITF dan Sentra 3 R","50000000","NA","NA","50000000"
"D","DINAS KEBERSIHAN","Karya Bakti TNI","500000000","NA","NA","500000000"
"D","DINAS KEBERSIHAN","Mesin Pemotong Rumput Taman","NA","200000000","NA","200000000"
"D","DINAS KEBERSIHAN","PENGADAAN COMPACTOR SAMPAH","NA","300000000000","NA","300000000000"
"D","DINAS KEBERSIHAN","Pembangunan Penerangan DEPO Sampah Dinas Kebersihan Provinsi DKI Jakarta","4500000000","NA","NA","4500000000"
"D","DINAS KEBERSIHAN","Pembangunan Perangkat Lunak untuk Pengaturan Beban dan Keamanan Data Dinas Kebersihan","5500000000","NA","NA","5500000000"
"D","DINAS KEBERSIHAN","Pembuatan Dermaga Apung di Sungai/Kali, Danau, Situ, dan Waduk","NA","10000000000","NA","10000000000"
"D","DINAS KEBERSIHAN","Penerapan tehnologi pengolahan sampah di TPS ","NA","NA","NA","NA"
"D","DINAS KEBERSIHAN","Pengadaan ATK UPK Badan Air, Taman dan Jalur Hijau","NA","25000000","NA","25000000"
"D","DINAS KEBERSIHAN","Pengadaan Alat Berat Excavator Spider","NA","50000000000","NA","50000000000"
"D","DINAS KEBERSIHAN","Pengadaan Alat Berat Material Handling Machine","NA","32500000000","NA","32500000000"
"D","DINAS KEBERSIHAN","Pengadaan Alat Penyemprot Sampah","NA","7500000000","NA","7500000000"
"D","DINAS KEBERSIHAN","Pengadaan Cengkek / Trisula","NA","190000000","NA","190000000"
"D","DINAS KEBERSIHAN","Pengadaan Crane Truck","NA","7500000000","NA","7500000000"
"D","DINAS KEBERSIHAN","Pengadaan Dreger Ponton","NA","14000000000","NA","14000000000"
"D","DINAS KEBERSIHAN","Pengadaan Eskavator Amphibi mini","33944000000","21056000000","NA","55000000000"
"D","DINAS KEBERSIHAN","Pengadaan Jas Hujan Petugas Sungai","NA","2000000000","NA","2000000000"
"D","DINAS KEBERSIHAN","Pengadaan Kantong Sampah","NA","200000000","NA","200000000"
"D","DINAS KEBERSIHAN","Pengadaan Kapal Pembersih Danau","NA","17000000000","NA","17000000000"
"D","DINAS KEBERSIHAN","Pengadaan Kapal Pembersih Gulma Multifungsi","28000000000","NA","0","28000000000"
"D","DINAS KEBERSIHAN","Pengadaan Kapal Pengangkut Sampah Sungai","NA","15000000000","NA","15000000000"
"D","DINAS KEBERSIHAN","Pengadaan Katrol Mobile","5000000000","NA","NA","5000000000"
"D","DINAS KEBERSIHAN","Pengadaan Kendaraan Dinas Operasional","NA","10000000000","NA","10000000000"
"D","DINAS KEBERSIHAN","Pengadaan Keranjang Sampah","NA","170000000","NA","170000000"
"D","DINAS KEBERSIHAN","Pengadaan Konveyor Sampah Sungai","NA","6000000000","NA","6000000000"
"D","DINAS KEBERSIHAN","Pengadaan Konveyor sampah","5000000000","NA","5000000000","0"
"D","DINAS KEBERSIHAN","Pengadaan Konveyor sampah Dipo/TPS","NA","10000000000","NA","10000000000"
"D","DINAS KEBERSIHAN","Pengadaan Material Handling Machine","32500000000","NA","32500000000","0"
"D","DINAS KEBERSIHAN","Pengadaan Mobil Patroli","8250000000","NA","8250000000","0"
"D","DINAS KEBERSIHAN","Pengadaan Pengki / Serok Sampah","NA","190000000","NA","190000000"
"D","DINAS KEBERSIHAN","Pengadaan Perahu Stryofoam","NA","8000000000","NA","8000000000"
"D","DINAS KEBERSIHAN","Pengadaan Road Sweeper","85500000000","NA","NA","85500000000"
"D","DINAS KEBERSIHAN","Pengadaan Sapu Jalan","200000000","NA","NA","200000000"
"D","DINAS KEBERSIHAN","Pengadaan Sarana Penerangan Pembersihan Sungai","NA","200000000","NA","200000000"
"D","DINAS KEBERSIHAN","Pengadaan Sekop","NA","190000000","NA","190000000"
"D","DINAS KEBERSIHAN","Pengadaan Smart Car","2400000000","NA","2400000000","0"
"D","DINAS KEBERSIHAN","Pengadaan Spider Excavator","78000000000","NA","78000000000","0"
"D","DINAS KEBERSIHAN","Pengadaan Terpal","NA","200000000","NA","200000000"
"D","DINAS KEBERSIHAN","Pengadaan banner dan spanduk himbauan kebersihan","200000000","NA","NA","200000000"
"D","DINAS KEBERSIHAN","Pengadaan dan Pemasangan Alat Penyekat Sampah Sungai/Kali","NA","10000000000","NA","10000000000"
"D","DINAS KEBERSIHAN","Pengadaan dan pemasangan Prasarana petugas sungai/kali","10000000000","NA","NA","10000000000"
"D","DINAS KEBERSIHAN","Pengadaan ember","NA","180000000","NA","180000000"
"D","DINAS KEBERSIHAN","Pengadaan gergaji mesin sungai dan taman","200000000","NA","NA","200000000"
"D","DINAS KEBERSIHAN","Pengadaan papan himbauan kebersihan","200000000","NA","NA","200000000"
"D","DINAS KEBERSIHAN","Pengadaan sapu","NA","185000000","NA","185000000"
"D","DINAS KEBERSIHAN","Pengadaan sarana pameran kebersihan","200000000","NA","NA","200000000"
"D","DINAS KEBERSIHAN","Pengadaan sarana penunjang alat-alat pembersih sungai/kali","5000000000","14000000000","NA","19000000000"
"D","DINAS KEBERSIHAN","Penggandaan dan Penjilidan Dokumen UPK Badan Air, Taman dan Jalur Hijau","NA","10000000","NA","10000000"
"D","DINAS KEBERSIHAN","Peningkatan Kemampuan Petugas Pembersih sungai/kali, danau, situ dan waduk di 42 Kecamatan","NA","8400000000","NA","8400000000"
"D","DINAS KEBERSIHAN","Penyelesaian Draft Master Plan dengan dinamika pembangunan Dinas Kebersihan","50000000","NA","NA","50000000"
"D","DINAS KEBERSIHAN","Perencanaan X-1 Pembangunan Incenerator","50000000","NA","NA","50000000"
"D","DINAS KEBERSIHAN","Perencanaan X-1 pembangunan dermaga kapal sampah sungai","50000000","NA","NA","50000000"
"D","DINAS KEBERSIHAN","Perencanaan X-1 pembangunan instalasi penyaringan air leachate","50000000","NA","NA","50000000"
"D","DINAS KEBERSIHAN","Perencanaan X-1 pembangunan prasarana penanganan sampah dengan tehnologi ramah lingkungan ","50000000","NA","NA","50000000"
"D","DINAS KEBERSIHAN","Perencanaan X-1 pemeliharaan kapal motor sungai","50000000","NA","NA","50000000"
"D","DINAS KEBERSIHAN","Perencanaan X-1 pemeliharaan kapal pesisir","50000000","NA","NA","50000000"
"D","DINAS KEBERSIHAN","Perencanaan X-1 pemeliharaan perahu mesin sungai","50000000","NA","NA","50000000"
"D","DINAS KEBERSIHAN","Perencanaan X-1 pemeliharaan peralatan penanganan sungai","50000000","NA","NA","50000000"
"D","DINAS KEBERSIHAN","Perencanaan X-1 pengadaan  Car wash ","50000000","NA","NA","50000000"
"D","DINAS KEBERSIHAN","Pos Mobile Petugas Pembersih Sungai/Kali, Danau, Situ dan Waduk","NA","6000000000","NA","6000000000"
"D","DINAS KEBERSIHAN","Rehab Lapangan Tenis Dinas Kebersihan","NA","150000000","NA","150000000"
"D","DINAS KEBERSIHAN","Sewa Pick Up Pengangkut Sampah Sungai/Kali, Danau, Situ dan Waduk","NA","9000000000","NA","9000000000"
"D","DINAS KEBERSIHAN","Sosialisasi Masyarakat Sekitar Lokasi Pembangunan ITF Duri Kosambi","200000000","NA","NA","200000000"
"D","DINAS PEKERJAAN UMUM","DED Danau di Jl. Kahfi II (Kampus ISTN) Jakarta Selatan","NA","NA","NA","NA"
"D","DINAS PEKERJAAN UMUM","Inventariasasi Pembebasan Tanah Setu Babakan","NA","200000000","NA","200000000"
"D","DINAS PEKERJAAN UMUM","Inventarisasi Lahan Waduk Ciawi","5000000000","NA","NA","5000000000"
"D","DINAS PEKERJAAN UMUM","Inventarisasi Pembebasan Tanah Jalan Tembus Jl. Arjuna Selatan - Salam","NA","200000000","NA","200000000"
"D","DINAS PEKERJAAN UMUM","Inventarisasi Pembebasan Tanah Jl. Akses Menuju Rusun Pulogebang (jl. Mutiara Mas Raya)","NA","300000000","NA","300000000"
"D","DINAS PEKERJAAN UMUM","Inventarisasi Pembebasan Tanah Situ Rawa Lindung","NA","500000000","NA","500000000"
"D","DINAS PEKERJAAN UMUM","Inventarisasi Pembebasasan Tanah Mangga Bolong","NA","200000000","NA","200000000"
"D","DINAS PEKERJAAN UMUM","Inventarisasi dan Pembebasan Tanah Waduk Rawa Kendal","NA","20000000000","NA","20000000000"
"D","DINAS PEKERJAAN UMUM","Inventarisasi dan pembebasan tanah jalan dari Tol - Mabes TNI","38000000000","NA","NA","38000000000"
"D","DINAS PEKERJAAN UMUM","Kajian Missing Link Jalan Tembus dari Jalan Raya Setu Menuju Jalan Bantar Jati Kel. Setu Kec. Cipayung (Sisi Kiri & Kanan TOL) ","NA","NA","NA","NA"
"D","DINAS PEKERJAAN UMUM","Optimalisasi Penggunaan Kendaraan dan Alat-alat Berat Bidang ke PU an untuk mendukung peningkatan kapasitas waduk/kali/saluran","NA","10000000000","NA","10000000000"
"D","DINAS PEKERJAAN UMUM","Pemagaran untuk Pengamanan Lahan 15 Lokasi","3000000000","NA","3000000000","0"
"D","DINAS PEKERJAAN UMUM","Pembangunan Sistem Pengamat Signal Komunikasi Penunjang Pelaksanaan Pengenadali Banjir","NA","NA","NA","NA"
"D","DINAS PEKERJAAN UMUM","Pembangunan pusat pengaturan lalu lintas data penunjang pemantauan langsung (real time) kondisi dan situasi sarana/prasarana pengendalian banjir di Provinsi DKI Jakarta","NA","13500000000","NA","13500000000"
"D","DINAS PEKERJAAN UMUM","Pembangunan sistem optimalisasi  pusat data","NA","6400000000","NA","6400000000"
"D","DINAS PEKERJAAN UMUM","Pembayaran Utang Pada Pihak Ketiga Untuk Kegiatan Biaya notaris pembebasan lahan RTH Camat Gabun II","35600000","NA","35600000","0"
"D","DINAS PEKERJAAN UMUM","Pembayaran Utang Pada Pihak Ketiga Untuk Kegiatan Biaya notaris pembebasan lahan RTH Duri Kosambi","192600000","NA","192600000","0"
"D","DINAS PEKERJAAN UMUM","Pembayaran Utang Pada Pihak Ketiga Untuk Kegiatan Biaya notaris pembebasan lahan RTH Jagakarsa, Lenteng Agung","39200000","NA","39200000","0"
"D","DINAS PEKERJAAN UMUM","Pembayaran Utang Pada Pihak Ketiga Untuk Kegiatan Biaya notaris pembebasan lahan RTH Pejaten Timur","151700000","NA","151700000","0"
"D","DINAS PEKERJAAN UMUM","Pembayaran Utang Pada Pihak Ketiga Untuk Kegiatan Biaya notaris pembebasan lahan RTH Pondok Labu","59500000","NA","59500000","0"
"D","DINAS PEKERJAAN UMUM","Pembayaran Utang Pada Pihak Ketiga Untuk Kegiatan Pelaksanaan Ducting System Kawasan Blok M (Tahap 3)","66413298","NA","66413298","0"
"D","DINAS PEKERJAAN UMUM","Pembayaran Utang Pada Pihak Ketiga Untuk Kegiatan Pelaksanaan Pengerukan waduk Kelapa Dua Wetan","6404759000","NA","6404759000","0"
"D","DINAS PEKERJAAN UMUM","Pembayaran Utang Pada Pihak Ketiga Untuk Kegiatan Pelaksanaan fisik Cakung Drain","19521626000","NA","19521626000","0"
"D","DINAS PEKERJAAN UMUM","Pembayaran Utang Pada Pihak Ketiga Untuk Kegiatan Pelaksanaan pengerukan Kali Cipinang","2165701000","NA","2165701000","0"
"D","DINAS PEKERJAAN UMUM","Pembayaran Utang Pada Pihak Ketiga Untuk Kegiatan Pelaksanaan pengerukan Kali Duri","2948474000","NA","2948474000","0"
"D","DINAS PEKERJAAN UMUM","Pembayaran Utang Pada Pihak Ketiga Untuk Kegiatan Pelaksanaan pengerukan Kali Grogol","425362250","NA","425362250","0"
"D","DINAS PEKERJAAN UMUM","Pembayaran Utang Pada Pihak Ketiga Untuk Kegiatan Pelaksanaan pengerukan Kali IKIP","2335168000","NA","2335168000","0"
"D","DINAS PEKERJAAN UMUM","Pembayaran Utang Pada Pihak Ketiga Untuk Kegiatan Pelaksanaan pengerukan Kali Mookervart","4432339000","NA","4432339000","0"
"D","DINAS PEKERJAAN UMUM","Pembayaran Utang Pada Pihak Ketiga Untuk Kegiatan Pelaksanaan pengerukan Kali Pademangan","3205564000","NA","3205564000","0"
"D","DINAS PEKERJAAN UMUM","Pembayaran Utang Pada Pihak Ketiga Untuk Kegiatan Pelaksanaan pengerukan Kali Semongol","3126906000","NA","3126906000","0"
"D","DINAS PEKERJAAN UMUM","Pembayaran Utang Pada Pihak Ketiga Untuk Kegiatan Pelaksanaan pengerukan Kali Sodetan Sekretaris","4663067000","NA","4663067000","0"
"D","DINAS PEKERJAAN UMUM","Pembayaran Utang Pada Pihak Ketiga Untuk Kegiatan Pelaksanaan pengerukan Waduk Setiabudi Barat","1960953000","NA","1960953000","0"
"D","DINAS PEKERJAAN UMUM","Pembayaran Utang Pada Pihak Ketiga Untuk Kegiatan Pelaksanaan pengerukan Waduk Setiabudi Timur","2313226000","NA","2313226000","0"
"D","DINAS PEKERJAAN UMUM","Pembayaran Utang Pada Pihak Ketiga Untuk Kegiatan Pelaksanaan pengerukan Waduk Sunter Selatan","4931120000","NA","4931120000","0"
"D","DINAS PEKERJAAN UMUM","Pembayaran Utang Pada Pihak Ketiga Untuk Kegiatan Pelaksanaan pengerukan Waduk Sunter Utara","11053449000","NA","11053449000","0"
"D","DINAS PEKERJAAN UMUM","Pembayaran Utang Pada Pihak Ketiga Untuk Kegiatan Pelaksanaan pengerukan situ Kodamar","4312276000","NA","4312276000","0"
"D","DINAS PEKERJAAN UMUM","Pembayaran Utang Pada Pihak Ketiga Untuk Kegiatan Pelaksanaan pengerukan situ RW Dongkal","3646112000","NA","3646112000","0"
"D","DINAS PEKERJAAN UMUM","Pembayaran Utang Pada Pihak Ketiga Untuk Kegiatan Pelaksanaan pengerukan situ mangga bolong","3643920000","NA","3643920000","0"
"D","DINAS PEKERJAAN UMUM","Pembayaran Utang Pada Pihak Ketiga Untuk Kegiatan Pelaksanaan pengerukan waduk Tomang Barat","1082957500","NA","1082957500","0"
"D","DINAS PEKERJAAN UMUM","Pembayaran Utang Pada Pihak Ketiga Untuk Kegiatan Pembangunan Longstorage dan pompa Koja (fisik)","287738820","NA","287738820","0"
"D","DINAS PEKERJAAN UMUM","Pembayaran Utang Pada Pihak Ketiga Untuk Kegiatan Pembangunan Pompa Waduk Pluit Tengah (fisik)","963633632","NA","963633632","0"
"D","DINAS PEKERJAAN UMUM","Pembayaran Utang Pada Pihak Ketiga Untuk Kegiatan Pembangunan Sheetpile Kamal Muara (fisik)","204444900","NA","204444900","0"
"D","DINAS PEKERJAAN UMUM","Pembayaran Utang Pada Pihak Ketiga Untuk Kegiatan Pembangunan Waduk Setu (fisik)","12528000","NA","12528000","0"
"D","DINAS PEKERJAAN UMUM","Pembayaran Utang Pada Pihak Ketiga Untuk Kegiatan Pembangunan sheet pile kali adem, kali gendong dan kali asin (fisik)","288992886","NA","288992886","0"
"D","DINAS PEKERJAAN UMUM","Pembayaran Utang Pada Pihak Ketiga Untuk Kegiatan Pembangunan turap situ babakan dan jalan inspeksi di sekeliling situ babakan (fisik)","200829749","NA","200829749","0"
"D","DINAS PEKERJAAN UMUM","Pembayaran Utang Pada Pihak Ketiga Untuk Kegiatan Pemeliharaan Jalur  Kol. Sugiono, Jl. Sukamto Kec. Duren Sawit","54007200","NA","54007200","0"
"D","DINAS PEKERJAAN UMUM","Pembayaran Utang Pada Pihak Ketiga Untuk Kegiatan Pemeliharaan trotoar Bus Transjakarta Koridor 4,5,6 (fisik)","185809931","NA","185809931","0"
"D","DINAS PEKERJAAN UMUM","Pembayaran Utang Pada Pihak Ketiga Untuk Kegiatan Pemeliharaan trotoar Bus Transjakarta Koridor 7,8,9,10 (fisik)","86668091","NA","86668091","0"
"D","DINAS PEKERJAAN UMUM","Pembayaran Utang Pada Pihak Ketiga Untuk Kegiatan Penanaman tanaman merambat pada pilar-pilar di jalur median Jl. DI Penjaitan","68314600","NA","68314600","0"
"D","DINAS PEKERJAAN UMUM","Pembayaran Utang Pada Pihak Ketiga Untuk Kegiatan Penanganan genangan daerah Kuningan Jl. Denpasar Cs (fisik)","134383986","NA","134383986","0"
"D","DINAS PEKERJAAN UMUM","Pembayaran Utang Pada Pihak Ketiga Untuk Kegiatan Penanggulangan sampah di rumah pompa pengendali banjir DKI Jakarta, Inlet Waduk Sunter III (PHB Layar), Inlet Waduk Tomang, Inlet Waduk Rumah Tomang Barat, Inlet ","1335824685","NA","1335824685","0"
"D","DINAS PEKERJAAN UMUM","Pembayaran Utang Pada Pihak Ketiga Untuk Kegiatan Penataan Jalur Hijau Pedestrian Jl. Cikini Raya Jakpus","944452504","NA","944452504","0"
"D","DINAS PEKERJAAN UMUM","Pembayaran Utang Pada Pihak Ketiga Untuk Kegiatan Pengawasan  pengerukan waduk Kelapa Dua Wetan & RW Dongkal","36811000","NA","36811000","0"
"D","DINAS PEKERJAAN UMUM","Pembayaran Utang Pada Pihak Ketiga Untuk Kegiatan Pengawasan Cakung Drain","49203000","NA","49203000","0"
"D","DINAS PEKERJAAN UMUM","Pembayaran Utang Pada Pihak Ketiga Untuk Kegiatan Pengawasan Dumping site","694168000","NA","694168000","0"
"D","DINAS PEKERJAAN UMUM","Pembayaran Utang Pada Pihak Ketiga Untuk Kegiatan Pengawasan Pelaksanaan Ducting System Kawasan Blok M (Tahap 3)","2074479","NA","2074479","0"
"D","DINAS PEKERJAAN UMUM","Pembayaran Utang Pada Pihak Ketiga Untuk Kegiatan Pengawasan Pengerukan Kali Cipinang","36663000","NA","36663000","0"
"D","DINAS PEKERJAAN UMUM","Pembayaran Utang Pada Pihak Ketiga Untuk Kegiatan Pengawasan Pengerukan Kali Duri","36300000","NA","36300000","0"
"D","DINAS PEKERJAAN UMUM","Pembayaran Utang Pada Pihak Ketiga Untuk Kegiatan Pengawasan Pengerukan Kali Grogol","48378000","NA","48378000","0"
"D","DINAS PEKERJAAN UMUM","Pembayaran Utang Pada Pihak Ketiga Untuk Kegiatan Pengawasan Pengerukan Kali Mookervart","47982000","NA","47982000","0"
"D","DINAS PEKERJAAN UMUM","Pembayaran Utang Pada Pihak Ketiga Untuk Kegiatan Pengawasan Pengerukan Kali Pademangan","36894000","NA","36894000","0"
"D","DINAS PEKERJAAN UMUM","Pembayaran Utang Pada Pihak Ketiga Untuk Kegiatan Pengawasan Pengerukan Kali Semongol","36811000","NA","36811000","0"
"D","DINAS PEKERJAAN UMUM","Pembayaran Utang Pada Pihak Ketiga Untuk Kegiatan Pengawasan Pengerukan Kali Sodetan Sekretaris","47553000","NA","47553000","0"
"D","DINAS PEKERJAAN UMUM","Pembayaran Utang Pada Pihak Ketiga Untuk Kegiatan Pengawasan Pengerukan Situ Kodamar & K. IKIP","36894000","NA","36894000","0"
"D","DINAS PEKERJAAN UMUM","Pembayaran Utang Pada Pihak Ketiga Untuk Kegiatan Pengawasan Pengerukan Waduk Setiabudi Timur","36811000","NA","36811000","0"
"D","DINAS PEKERJAAN UMUM","Pembayaran Utang Pada Pihak Ketiga Untuk Kegiatan Pengawasan Pengerukan Waduk Sunter Selatan","49170000","NA","49170000","0"
"D","DINAS PEKERJAAN UMUM","Pembayaran Utang Pada Pihak Ketiga Untuk Kegiatan Pengawasan Pengerukan Waduk Sunter Utara","36811000","NA","36811000","0"
"D","DINAS PEKERJAAN UMUM","Pembayaran Utang Pada Pihak Ketiga Untuk Kegiatan Pengawasan Pengerukan situ mangga bolong","36729000","NA","36729000","0"
"D","DINAS PEKERJAAN UMUM","Pembayaran Utang Pada Pihak Ketiga Untuk Kegiatan Pengawasan Pengerukan waduk Tomang Barat","47718000","NA","47718000","0"
"D","DINAS PEKERJAAN UMUM","Pembayaran Utang Pada Pihak Ketiga Untuk Kegiatan Pengawasan Peningkatan Jembatan Jl. Lebak Bulus 3 Lanjutan","2648148","NA","2648148","0"
"D","DINAS PEKERJAAN UMUM","Pembayaran Utang Pada Pihak Ketiga Untuk Kegiatan Pengerukan Waduk Pluit (fisik)","4926016527","NA","4926016527","0"
"D","DINAS PEKERJAAN UMUM","Pembayaran Utang Pada Pihak Ketiga Untuk Kegiatan Peningkatan Jembatan Jl. Lebak Bulus 3 Lanjutan","127893393","NA","127893393","0"
"D","DINAS PEKERJAAN UMUM","Pembayaran Utang Pada Pihak Ketiga Untuk Kegiatan Peningkatan Pedestrian Jl. kebon sirih Jakpus","503792511","NA","503792511","0"
"D","DINAS PEKERJAAN UMUM","Pembayaran Utang Pada Pihak Ketiga Untuk Kegiatan Peningkatan saluran Jl. Kapuk Poglar (penyelesaian Kampung Teko) (fisik)","512593336","NA","512593336","0"
"D","DINAS PEKERJAAN UMUM","Pembayaran Utang Pada Pihak Ketiga Untuk Kegiatan Penurapan Kali Baru RW 06 RW 10 (fisik)","202308899","NA","202308899","0"
"D","DINAS PEKERJAAN UMUM","Pembayaran Utang Pada Pihak Ketiga Untuk Kegiatan Penyelesaian  pompa duri Lanjutan(fisik)","799182909","NA","799182909","0"
"D","DINAS PEKERJAAN UMUM","Pembayaran Utang Pada Pihak Ketiga Untuk Kegiatan Perbaikan perkuatan tebing dan pengerukan Kali Utan Kayu (fisik)","1526732962","NA","1526732962","0"
"D","DINAS PEKERJAAN UMUM","Pembebasan Lahan Waduk Pluit","320000000000","NA","119488497050","200511502950"
"D","DINAS PEKERJAAN UMUM","Pembebasan Lahan untuk Embung Jl. Martilang Kel. Petukangan Utara Kecamatan Pesanggrahan","NA","NA","NA","NA"
"D","DINAS PEKERJAAN UMUM","Pembebasan Lahan untuk Embung di Jl. Bambu Wulung RT 005 RW 03 Kel. Setu Kec. Cipayung Jakarta Timur","NA","NA","NA","NA"
"D","DINAS PEKERJAAN UMUM","Pembebasan Lahan untuk Embung di Jl. Batas RT 002/01 Kel. Baru Kec. Pasar Rebo","NA","NA","NA","NA"
"D","DINAS PEKERJAAN UMUM","Pembebasan Lahan untuk MRT","100000000000","NA","NA","100000000000"
"D","DINAS PEKERJAAN UMUM","Pembebasan Lahan untuk Pelebaran Jalan di Jl. Cempaka Putih Tengah Kel. Cempaka Putih Timur Kec. Cempaka Putih","NA","2300000000","NA","2300000000"
"D","DINAS PEKERJAAN UMUM","Pembebasan Lahan untuk Waduk Rawa Badung, Kel. Jatinegara, Kec. Cakung (Lanjutan)","NA","14204000000","NA","14204000000"
"D","DINAS PEKERJAAN UMUM","Pembebasan Lahan untuk Waduk Surilang Kel. Gedong (Lanjutan)","NA","13500000000","NA","13500000000"
"D","DINAS PEKERJAAN UMUM","Pembebasan Lahan untuk Waduk di RW 003 Kel. Lubang Buaya Kec. Cipayung Jakarta Timur","NA","30000000000","NA","30000000000"
"D","DINAS PEKERJAAN UMUM","Pembebasan Tanah Jalan Tembus Jl. Arjuna Selatan - Salam","1000000000","NA","1000000000","0"
"D","DINAS PEKERJAAN UMUM","Pembebasan Tanah Setu Babakan","5000000000","NA","5000000000","0"
"D","DINAS PEKERJAAN UMUM","Pembebasan Tanah Situ Rawa Lindung","2500000000","NA","2500000000","0"
"D","DINAS PEKERJAAN UMUM","Pembebasan Tanah Untuk Embung di Jln. Penganten Ali 3 Kel. Ciracas Kec. Ciracas Jakarta Timur (Lanjutan)","NA","NA","NA","NA"
"D","DINAS PEKERJAAN UMUM","Pembebasan Tanah Untuk Waduk Cimanggis Cibubur, Jakarta Timur","NA","NA","NA","NA"
"D","DINAS PEKERJAAN UMUM","Pembebasan Tanah Waduk Cilandak Marinir (Lanjutan)","NA","10000000000","NA","10000000000"
"D","DINAS PEKERJAAN UMUM","Pembebasasan Tanah Mangga Bolong","5000000000","NA","5000000000","0"
"D","DINAS PEKERJAAN UMUM","Pembelian Trailer","10000000000","NA","NA","10000000000"
"D","DINAS PEKERJAAN UMUM","Pembelian alat keruk lumpur Watermaster Classic ","13280000000","NA","NA","13280000000"
"D","DINAS PEKERJAAN UMUM","Pembersihan Dinding Beton dengan Anti Corat - Coret","NA","NA","NA","NA"
"D","DINAS PEKERJAAN UMUM","Pembersihan Dinding dan Pengecetan Dinding Beton Di Prov. DKI Jakarta","NA","15000000000","NA","15000000000"
"D","DINAS PEKERJAAN UMUM","Penanganan kerusakan pada jalur busway koridor I, koridor IV - XII","NA","170439390000","NA","170439390000"
"D","DINAS PEKERJAAN UMUM","Penataan/revitalisasi/perbaikan Jalan Arteri/Kolektor di wilayah Jakarta Barat","NA","15000000000","NA","15000000000"
"D","DINAS PEKERJAAN UMUM","Penataan/revitalisasi/perbaikan Jalan Arteri/Kolektor di wilayah Jakarta Pusat  ","NA","15000000000","NA","15000000000"
"D","DINAS PEKERJAAN UMUM","Penataan/revitalisasi/perbaikan Jalan Arteri/Kolektor di wilayah Jakarta Selatan","NA","15000000000","NA","15000000000"
